case:concept:name,prefix_length,concept:name,org:resource,org:role,case_elapsed_time,event_elapsed_time,day_in_week,seconds_in_day,case:Amount
declaration 100005,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[1.0],[34734.0],35.13368465896797
declaration 100005,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 3.0]","[nan, 3.0]","[1.0, 1.0]","[34734.0, 34737.0]",35.13368465896797
declaration 100005,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 3.0, 1516.0]","[nan, 3.0, 1513.0]","[1.0, 1.0, 1.0]","[34734.0, 34737.0, 36250.0]",35.13368465896797
declaration 100005,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 3.0, 1516.0, 97584.0]","[nan, 3.0, 1513.0, 96068.0]","[1.0, 1.0, 1.0, 2.0]","[34734.0, 34737.0, 36250.0, 45918.0]",35.13368465896797
declaration 100005,5,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 3.0, 1516.0, 97584.0, 201143.0]","[nan, 3.0, 1513.0, 96068.0, 103559.0]","[1.0, 1.0, 1.0, 2.0, 3.0]","[34734.0, 34737.0, 36250.0, 45918.0, 63077.0]",35.13368465896797
declaration 100010,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[1.0],[35001.0],26.190564927594306
declaration 100010,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 2.0]","[nan, 2.0]","[1.0, 1.0]","[35001.0, 35003.0]",26.190564927594306
declaration 100010,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 2.0, 1198.0]","[nan, 2.0, 1196.0]","[1.0, 1.0, 1.0]","[35001.0, 35003.0, 36199.0]",26.190564927594306
declaration 100010,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 2.0, 1198.0, 97312.0]","[nan, 2.0, 1196.0, 96114.0]","[1.0, 1.0, 1.0, 2.0]","[35001.0, 35003.0, 36199.0, 45913.0]",26.190564927594306
declaration 100010,5,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 2.0, 1198.0, 97312.0, 200876.0]","[nan, 2.0, 1196.0, 96114.0, 103564.0]","[1.0, 1.0, 1.0, 2.0, 3.0]","[35001.0, 35003.0, 36199.0, 45913.0, 63077.0]",26.190564927594306
declaration 100015,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[1.0],[47203.0],82.95129768055736
declaration 100015,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 3.0]","[nan, 3.0]","[1.0, 1.0]","[47203.0, 47206.0]",82.95129768055736
declaration 100015,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER']","[0.0, 3.0, 91415.0]","[nan, 3.0, 91412.0]","[1.0, 1.0, 2.0]","[47203.0, 47206.0, 52218.0]",82.95129768055736
declaration 100015,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration FINAL_APPROVED by SUPERVISOR']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR']","[0.0, 3.0, 91415.0, 164859.0]","[nan, 3.0, 91412.0, 73444.0]","[1.0, 1.0, 2.0, 3.0]","[47203.0, 47206.0, 52218.0, 39262.0]",82.95129768055736
