CaseID,prefix_length,Activity,Resource,case_elapsed_time,event_elapsed_time,day_in_week,seconds_in_day,seriousness,customer,product,responsible_section,service_level,service_type,support_section,workgroup
Case 10,1,['Assign seriousness'],['Value 2'],[0.0],[nan],[2.0],[31820.0],Value 1,Value 10,Value 3,Value 2,Value 3,Value 1,Value 2,Value 3
Case 10,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[0.0, 3196606.0]","[nan, 3196606.0]","[2.0, 4.0]","[31820.0, 31626.0]",Value 1,Value 10,Value 3,Value 2,Value 3,Value 1,Value 2,Value 3
Case 10,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 2', 'Value 2', 'Value 2']","[0.0, 3196606.0, 3196613.0]","[nan, 3196606.0, 7.0]","[2.0, 4.0, 4.0]","[31820.0, 31626.0, 31633.0]",Value 1,Value 10,Value 3,Value 2,Value 3,Value 1,Value 2,Value 3
Case 10,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 2', 'Value 2', 'Value 2', 'Value 5']","[0.0, 3196606.0, 3196613.0, 4489038.0]","[nan, 3196606.0, 7.0, 1292425.0]","[2.0, 4.0, 4.0, 5.0]","[31820.0, 31626.0, 31633.0, 28058.0]",Value 1,Value 10,Value 3,Value 2,Value 3,Value 1,Value 2,Value 3
Case 100,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[4.0],[37517.0],Value 1,Value 44,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 100,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 9']","[0.0, 1036724.0]","[nan, 1036724.0]","[4.0, 2.0]","[37517.0, 37441.0]",Value 1,Value 44,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 100,3,"['Assign seriousness', 'Take in charge ticket', 'Require upgrade']","['Value 1', 'Value 9', 'Value 9']","[0.0, 1036724.0, 1056354.0]","[nan, 1036724.0, 19630.0]","[4.0, 2.0, 2.0]","[37517.0, 37441.0, 57071.0]",Value 1,Value 44,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 100,4,"['Assign seriousness', 'Take in charge ticket', 'Require upgrade', 'Resolve ticket']","['Value 1', 'Value 9', 'Value 9', 'Value 2']","[0.0, 1036724.0, 1056354.0, 2861743.0]","[nan, 1036724.0, 19630.0, 1805389.0]","[4.0, 2.0, 2.0, 2.0]","[37517.0, 37441.0, 57071.0, 48060.0]",Value 1,Value 44,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 100,5,"['Assign seriousness', 'Take in charge ticket', 'Require upgrade', 'Resolve ticket', 'Closed']","['Value 1', 'Value 9', 'Value 9', 'Value 2', 'Value 3']","[0.0, 1036724.0, 1056354.0, 2861743.0, 4157763.0]","[nan, 1036724.0, 19630.0, 1805389.0, 1296020.0]","[4.0, 2.0, 2.0, 2.0, 3.0]","[37517.0, 37441.0, 57071.0, 48060.0, 48080.0]",Value 1,Value 44,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1000,1,['Assign seriousness'],['Value 2'],[0.0],[nan],[3.0],[32008.0],Value 1,Value 92,Value 3,Value 4,Value 2,Value 1,Value 3,Value 1
Case 1000,2,"['Assign seriousness', 'Assign seriousness']","['Value 2', 'Value 2']","[0.0, 6.0]","[nan, 6.0]","[3.0, 3.0]","[32008.0, 32014.0]",Value 1,Value 92,Value 3,Value 4,Value 2,Value 1,Value 3,Value 1
Case 1000,3,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2', 'Value 2']","[0.0, 6.0, 12.0]","[nan, 6.0, 6.0]","[3.0, 3.0, 3.0]","[32008.0, 32014.0, 32020.0]",Value 1,Value 92,Value 3,Value 4,Value 2,Value 1,Value 3,Value 1
Case 1000,4,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 2', 'Value 2', 'Value 2', 'Value 2']","[0.0, 6.0, 12.0, 450805.0]","[nan, 6.0, 6.0, 450793.0]","[3.0, 3.0, 3.0, 1.0]","[32008.0, 32014.0, 32020.0, 50813.0]",Value 1,Value 92,Value 3,Value 4,Value 2,Value 1,Value 3,Value 1
