case:concept:name,prefix_length,concept:name,org:resource,org:role,case_elapsed_time,event_elapsed_time,day_in_week,seconds_in_day,case:BudgetNumber,case:DeclarationNumber,case:Amount
declaration 86795,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[0.0],[37574.0],budget 86566,declaration number 86796,182.46417204248664
declaration 86795,2,"['Declaration SUBMITTED', 'Declaration APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'PRE_APPROVER']","[0.0, 3801787.0]","[nan, 3801787.0]","[0.0, 2.0]","[37574.0, 37761.0]",budget 86566,declaration number 86796,182.46417204248664
declaration 86795,3,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'PRE_APPROVER', 'SUPERVISOR']","[0.0, 3801787.0, 3880111.0]","[nan, 3801787.0, 78324.0]","[0.0, 2.0, 3.0]","[37574.0, 37761.0, 29685.0]",budget 86566,declaration number 86796,182.46417204248664
declaration 86795,4,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'PRE_APPROVER', 'SUPERVISOR', 'UNDEFINED']","[0.0, 3801787.0, 3880111.0, 4851671.0]","[nan, 3801787.0, 78324.0, 971560.0]","[0.0, 2.0, 3.0, 0.0]","[37574.0, 37761.0, 29685.0, 50845.0]",budget 86566,declaration number 86796,182.46417204248664
declaration 86795,5,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'PRE_APPROVER', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 3801787.0, 3880111.0, 4851671.0, 5468685.0]","[nan, 3801787.0, 78324.0, 971560.0, 617014.0]","[0.0, 2.0, 3.0, 0.0, 0.0]","[37574.0, 37761.0, 29685.0, 50845.0, 63059.0]",budget 86566,declaration number 86796,182.46417204248664
declaration 86800,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[0.0],[40413.0],budget 86566,declaration number 86801,320.6461366035828
declaration 86800,2,"['Declaration SUBMITTED', 'Declaration APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'PRE_APPROVER']","[0.0, 2101517.0]","[nan, 2101517.0]","[0.0, 3.0]","[40413.0, 68330.0]",budget 86566,declaration number 86801,320.6461366035828
declaration 86800,3,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'PRE_APPROVER', 'SUPERVISOR']","[0.0, 2101517.0, 2656891.0]","[nan, 2101517.0, 555374.0]","[0.0, 3.0, 3.0]","[40413.0, 68330.0, 18904.0]",budget 86566,declaration number 86801,320.6461366035828
declaration 86800,4,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'PRE_APPROVER', 'SUPERVISOR', 'UNDEFINED']","[0.0, 2101517.0, 2656891.0, 2695602.0]","[nan, 2101517.0, 555374.0, 38711.0]","[0.0, 3.0, 3.0, 3.0]","[40413.0, 68330.0, 18904.0, 57615.0]",budget 86566,declaration number 86801,320.6461366035828
declaration 86800,5,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'PRE_APPROVER', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 2101517.0, 2656891.0, 2695602.0, 3046721.0]","[nan, 2101517.0, 555374.0, 38711.0, 351119.0]","[0.0, 3.0, 3.0, 3.0, 0.0]","[40413.0, 68330.0, 18904.0, 57615.0, 63134.0]",budget 86566,declaration number 86801,320.6461366035828
declaration 86731,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[0.0],[41060.0],budget 86566,declaration number 86732,113.86204717835876
declaration 86731,2,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'SUPERVISOR']","[0.0, 783.0]","[nan, 783.0]","[0.0, 0.0]","[41060.0, 41843.0]",budget 86566,declaration number 86732,113.86204717835876
declaration 86731,3,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'SUPERVISOR', 'UNDEFINED']","[0.0, 783.0, 184378.0]","[nan, 783.0, 183595.0]","[0.0, 0.0, 2.0]","[41060.0, 41843.0, 52638.0]",budget 86566,declaration number 86732,113.86204717835876
