CaseID,prefix_length,Activity,Resource,case_elapsed_time,event_elapsed_time,day_in_week,seconds_in_day,VariantIndex,seriousness,customer,product,responsible_section,seriousness_2,service_level,service_type,support_section,workgroup
Case 2,1,['Assign seriousness'],['Value 4'],[0.0],[nan],[1.0],[32138.0],1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 4']","[0.0, 15.0]","[nan, 15.0]","[1.0, 1.0]","[32138.0, 32153.0]",1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 4', 'Value 4', 'Value 4']","[0.0, 15.0, 174014.0]","[nan, 15.0, 173999.0]","[1.0, 1.0, 3.0]","[32138.0, 32153.0, 33352.0]",1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 4', 'Value 4', 'Value 4', 'Value 5']","[0.0, 15.0, 174014.0, 3974690.0]","[nan, 15.0, 173999.0, 3800676.0]","[1.0, 1.0, 3.0, 5.0]","[32138.0, 32153.0, 33352.0, 32428.0]",1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3,1,['Assign seriousness'],['Value 6'],[0.0],[nan],[4.0],[36846.0],1,Value 1,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 3,2,"['Assign seriousness', 'Take in charge ticket']","['Value 6', 'Value 7']","[0.0, 453725.0]","[nan, 453725.0]","[4.0, 2.0]","[36846.0, 58571.0]",1,Value 1,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 3,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 6', 'Value 7', 'Value 7']","[0.0, 453725.0, 454031.0]","[nan, 453725.0, 306.0]","[4.0, 2.0, 2.0]","[36846.0, 58571.0, 58877.0]",1,Value 1,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 3,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 6', 'Value 7', 'Value 7', 'Value 5']","[0.0, 453725.0, 454031.0, 2768772.0]","[nan, 453725.0, 306.0, 2314741.0]","[4.0, 2.0, 2.0, 1.0]","[36846.0, 58571.0, 58877.0, 40818.0]",1,Value 1,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 5,1,['Assign seriousness'],['Value 9'],[0.0],[nan],[1.0],[47312.0],9,Value 1,Value 5,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 5,2,"['Assign seriousness', 'Take in charge ticket']","['Value 9', 'Value 10']","[0.0, 2221.0]","[nan, 2221.0]","[1.0, 1.0]","[47312.0, 49533.0]",9,Value 1,Value 5,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 5,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 9', 'Value 10', 'Value 10']","[0.0, 2221.0, 2330.0]","[nan, 2221.0, 109.0]","[1.0, 1.0, 1.0]","[47312.0, 49533.0, 49642.0]",9,Value 1,Value 5,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 5,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket']","['Value 9', 'Value 10', 'Value 10', 'Value 10']","[0.0, 2221.0, 2330.0, 3990.0]","[nan, 2221.0, 109.0, 1660.0]","[1.0, 1.0, 1.0, 1.0]","[47312.0, 49533.0, 49642.0, 51302.0]",9,Value 1,Value 5,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 5,5,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket']","['Value 9', 'Value 10', 'Value 10', 'Value 10', 'Value 10']","[0.0, 2221.0, 2330.0, 3990.0, 10736.0]","[nan, 2221.0, 109.0, 1660.0, 6746.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[47312.0, 49533.0, 49642.0, 51302.0, 58048.0]",9,Value 1,Value 5,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 5,6,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 9', 'Value 10', 'Value 10', 'Value 10', 'Value 10', 'Value 5']","[0.0, 2221.0, 2330.0, 3990.0, 10736.0, 4492916.0]","[nan, 2221.0, 109.0, 1660.0, 6746.0, 4482180.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 4.0]","[47312.0, 49533.0, 49642.0, 51302.0, 58048.0, 47428.0]",9,Value 1,Value 5,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 6,1,['Assign seriousness'],['Value 2'],[0.0],[nan],[1.0],[54838.0],1,Value 1,Value 6,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
