case:concept:name,prefix_length,concept:name,org:resource,case_elapsed_time,event_elapsed_time,day_in_week,seconds_in_day
c1,1,['RECEPTION'],['46'],[0.0],[nan],[2.0],[29626.0]
c1,2,"['RECEPTION', 'DISASSEMBLY']","['46', '38']","[0.0, 16542.962890625]","[nan, 16542.962890625]","[2.0, 2.0]","[29626.0, 46169.0]"
c1,3,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT']","['46', '38', '5']","[0.0, 16542.962890625, 17845.3125]","[nan, 16542.962890625, 1302.349609375]","[2.0, 2.0, 2.0]","[29626.0, 46169.0, 47471.0]"
c1,4,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR']","['46', '38', '5', '42']","[0.0, 16542.962890625, 17845.3125, 25915.537109375]","[nan, 16542.962890625, 1302.349609375, 8070.22412109375]","[2.0, 2.0, 2.0, 2.0]","[29626.0, 46169.0, 47471.0, 55541.0]"
c1,5,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL']","['46', '38', '5', '42', '14']","[0.0, 16542.962890625, 17845.3125, 25915.537109375, 33554.84765625]","[nan, 16542.962890625, 1302.349609375, 8070.22412109375, 7639.31103515625]","[2.0, 2.0, 2.0, 2.0, 2.0]","[29626.0, 46169.0, 47471.0, 55541.0, 63181.0]"
c1,6,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE']","['46', '38', '5', '42', '14', '46']","[0.0, 16542.962890625, 17845.3125, 25915.537109375, 33554.84765625, 43834.79296875]","[nan, 16542.962890625, 1302.349609375, 8070.22412109375, 7639.31103515625, 10279.9453125]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[29626.0, 46169.0, 47471.0, 55541.0, 63181.0, 73461.0]"
c1,7,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE', 'SHIPPING']","['46', '38', '5', '42', '14', '46', '18']","[0.0, 16542.962890625, 17845.3125, 25915.537109375, 33554.84765625, 43834.79296875, 89332.140625]","[nan, 16542.962890625, 1302.349609375, 8070.22412109375, 7639.31103515625, 10279.9453125, 45497.34765625]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]","[29626.0, 46169.0, 47471.0, 55541.0, 63181.0, 73461.0, 32558.0]"
c2,1,['RECEPTION'],['41'],[0.0],[nan],[2.0],[59179.0]
c2,2,"['RECEPTION', 'DISASSEMBLY']","['41', '44']","[0.0, 15534.119140625]","[nan, 15534.119140625]","[2.0, 2.0]","[59179.0, 74713.0]"
c2,3,"['RECEPTION', 'DISASSEMBLY', 'REPAIR']","['41', '44', '6']","[0.0, 15534.119140625, 53467.23828125]","[nan, 15534.119140625, 37933.12109375]","[2.0, 2.0, 3.0]","[59179.0, 74713.0, 26246.0]"
c2,4,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'ACKNOWLEDGEMENT']","['41', '44', '6', '17']","[0.0, 15534.119140625, 53467.23828125, 90823.53125]","[nan, 15534.119140625, 37933.12109375, 37356.29296875]","[2.0, 2.0, 3.0, 3.0]","[59179.0, 74713.0, 26246.0, 63602.0]"
c2,5,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'ACKNOWLEDGEMENT', 'QUALITY_CONTROL']","['41', '44', '6', '17', '17']","[0.0, 15534.119140625, 53467.23828125, 90823.53125, 98696.265625]","[nan, 15534.119140625, 37933.12109375, 37356.29296875, 7872.736328125]","[2.0, 2.0, 3.0, 3.0, 3.0]","[59179.0, 74713.0, 26246.0, 63602.0, 71475.0]"
c2,6,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'ACKNOWLEDGEMENT', 'QUALITY_CONTROL', 'REPAIR']","['41', '44', '6', '17', '17', '12']","[0.0, 15534.119140625, 53467.23828125, 90823.53125, 98696.265625, 163905.296875]","[nan, 15534.119140625, 37933.12109375, 37356.29296875, 7872.736328125, 65209.01953125]","[2.0, 2.0, 3.0, 3.0, 3.0, 4.0]","[59179.0, 74713.0, 26246.0, 63602.0, 71475.0, 50284.0]"
