case:concept:name,concept:name,a:id,time:timestamp,org:resource,type
c0,RECEPTION,0,2020-01-01 21:07:18.787456,10,EventType.ACTIVITY_COMPLETE
c1,RECEPTION,0,2020-01-01 23:10:28.581790,33,EventType.ACTIVITY_COMPLETE
c1,ACKNOWLEDGEMENT,2,2020-01-02 08:18:44.146818,0,EventType.ACTIVITY_COMPLETE
c4,RECEPTION,0,2020-01-02 09:38:08.895023,21,EventType.ACTIVITY_COMPLETE
c2,RECEPTION,0,2020-01-02 09:46:24.862245,22,EventType.ACTIVITY_COMPLETE
c3,RECEPTION,0,2020-01-02 10:40:02.229812,49,EventType.ACTIVITY_COMPLETE
c0,ACKNOWLEDGEMENT,2,2020-01-02 12:03:20.578471,25,EventType.ACTIVITY_COMPLETE
c0,DISASSEMBLY,1,2020-01-02 12:04:01.023782,27,EventType.ACTIVITY_COMPLETE
c1,DISASSEMBLY,1,2020-01-02 12:46:30.863220,28,EventType.ACTIVITY_COMPLETE
c3,ACKNOWLEDGEMENT,2,2020-01-02 14:25:56.368790,34,EventType.ACTIVITY_COMPLETE
c0,REPAIR,3,2020-01-02 14:55:05.097980,29,EventType.ACTIVITY_COMPLETE
c2,DISASSEMBLY,1,2020-01-02 15:58:21.590697,30,EventType.ACTIVITY_COMPLETE
c4,DISASSEMBLY,1,2020-01-02 16:13:55.218359,15,EventType.ACTIVITY_COMPLETE
c3,DISASSEMBLY,1,2020-01-02 16:17:48.906709,33,EventType.ACTIVITY_COMPLETE
c0,QUALITY_CONTROL,4,2020-01-02 17:05:54.771126,44,EventType.ACTIVITY_COMPLETE
c2,ACKNOWLEDGEMENT,2,2020-01-02 17:12:31.569833,16,EventType.ACTIVITY_COMPLETE
c1,REPAIR,3,2020-01-02 18:46:16.023489,49,EventType.ACTIVITY_COMPLETE
c4,ACKNOWLEDGEMENT,2,2020-01-02 20:09:39.296896,24,EventType.ACTIVITY_COMPLETE
c3,REPAIR,3,2020-01-02 20:12:08.156260,8,EventType.ACTIVITY_COMPLETE
c1,QUALITY_CONTROL,4,2020-01-02 20:32:07.673316,3,EventType.ACTIVITY_COMPLETE
c2,REPAIR,3,2020-01-02 21:02:47.063089,29,EventType.ACTIVITY_COMPLETE
c5,RECEPTION,0,2020-01-02 23:36:25.107384,31,EventType.ACTIVITY_COMPLETE
c0,CREATE_INVOICE,5,2020-01-03 03:23:13.020289,27,EventType.ACTIVITY_COMPLETE
c3,QUALITY_CONTROL,4,2020-01-03 07:44:30.710739,43,EventType.ACTIVITY_COMPLETE
c2,QUALITY_CONTROL,4,2020-01-03 08:08:21.536210,42,EventType.ACTIVITY_COMPLETE
c9,RECEPTION,0,2020-01-03 08:23:47.747357,28,EventType.ACTIVITY_COMPLETE
c3,CREATE_INVOICE,5,2020-01-03 08:23:59.632576,6,EventType.ACTIVITY_COMPLETE
c4,REPAIR,3,2020-01-03 08:26:28.262252,24,EventType.ACTIVITY_COMPLETE
c6,RECEPTION,0,2020-01-03 08:46:25.431155,34,EventType.ACTIVITY_COMPLETE
c8,RECEPTION,0,2020-01-03 09:21:37.063297,3,EventType.ACTIVITY_COMPLETE
c2,CREATE_INVOICE,5,2020-01-03 09:46:19.448761,10,EventType.ACTIVITY_COMPLETE
c10,RECEPTION,0,2020-01-03 10:08:51.321836,18,EventType.ACTIVITY_COMPLETE
c4,QUALITY_CONTROL,4,2020-01-03 10:26:39.785740,6,EventType.ACTIVITY_COMPLETE
c5,DISASSEMBLY,1,2020-01-03 10:44:36.149037,26,EventType.ACTIVITY_COMPLETE
c7,RECEPTION,0,2020-01-03 11:07:36.118355,32,EventType.ACTIVITY_COMPLETE
c3,SHIPPING,6,2020-01-03 12:22:10.368051,48,EventType.ACTIVITY_COMPLETE
c0,SHIPPING,6,2020-01-03 12:34:53.515101,25,EventType.ACTIVITY_COMPLETE
c6,DISASSEMBLY,1,2020-01-03 13:12:21.911435,14,EventType.ACTIVITY_COMPLETE
c12,RECEPTION,0,2020-01-03 13:21:06.680038,36,EventType.ACTIVITY_COMPLETE
c11,RECEPTION,0,2020-01-03 13:36:41.152377,16,EventType.ACTIVITY_COMPLETE
c5,ACKNOWLEDGEMENT,2,2020-01-03 13:41:03.649586,40,EventType.ACTIVITY_COMPLETE
c8,ACKNOWLEDGEMENT,2,2020-01-03 13:44:26.630985,49,EventType.ACTIVITY_COMPLETE
